Question;Answer;Description
練習;れんしゅう;latihan
最近;さいきん;akhir-kahir ini
最初;さいしょ;paling awal,awalnya
最後;さいご;paling akhir
最も;もっとも;paling
適当な;てきとう/てきとうな;sesuai, asal(ngasal)
快適な;かいてき/かいてきな;nyaman
選ぶ;えらぶ;memilih
選挙;せんきょ;pemilu
選手;せんしゅ;atlet
違う;ちがう;berbeda, salah
間違い;まちがい;kesalahan
間違う;まちがう;salah (membuat kesalahan)
間違える;まちがえる;salah (membuat kesalahan)
辞める;やめる;berhenti
辞書;じしょ;kamus
直す;なおす;memperbaiki
直る;なおる;fix, benar
直線;ちょくせん;garis lurus
直接;ちょくせつ;langsung
復習;ふくしゅう;belajar mengulang
往復;おうふく;pulang pergi
回復;かいふく;pulih, sembuh
宿;やぢ;penginapan
下宿;げしゅく;kos-kosan,penginapan
宿題;しゅくだい;pekerjaan rumah
