Question;Answer;Description
包む;つつむ;membungkus (2010-7, 2013-12, 2019-7)
得意な;とくいな/とくい;pandai,kuat (2010-7, 2018-7)
彼;かれ;dia (laki-laki) (2010-7 bagian soal)
星;ほし;bintang (2010-7 bagian soal)
発見;はっけん;penemuan(yang sudah ada sebelumnya) (2010-7)
表す;あらわす;mengungkapkan (2010-7, 2015-7)
件;けん;subjek (2010-7)
岩;いわ;rock (batu besar) (2010-7)
努力;どりょく;usaha (2010-7)
機械;きかい;mesin (2010-7 bagian soal, 2018-7)
正常な;せいじょうな/せいじょう;normal,biasa (2010-7)
健康診断;けんこうしんだん;tes kesehatan (2010-7 bagian soal)
血液;けつえき;darah (2010-7)
検査;けんさ;inspection/scan (2010-7 bagian soal, 2014-12)
追いつく;おいつく;mengejar (2010-7)
首都;しゅと;ibu kota (2011-7)
太陽;たいよう;matahari(planet) (2011-7 bagian soal)
地球;ちきゅう;bumi (2011-7)
協力;きょうりょく;kerjasama (2011-7)
奨学金;しょうがくきん;beasiswa (2011-7 bagian soal)
応募;おうぼ;menerapkan (2011-7)
疑問;ぎもん;pertanyaan (2011-7)
成績;せいせき;grade/nilai/skor (2011-7 bagian soal, 2016-7)
解決;かいけつ;solusi (2011-7)
案内;あんない;panduan (2011-7)
健康;けんこう;kesehatan (2011-7)
気温;きおん;suhu udara,temperatur (2011-7)
痛い;いたい;sakit(rasa sakit) (2011-7)
大量;たいりょう;jumlah besar (produksi) (2011-7)
過去;かこ;masa lalu (2011-12, 2017-7)
到着;とうちゃく;tiba (2011-12)
枝;えだ;cabang(pohon) (2011-12 bagian soal)
折る;おる;patah (2011-12, 2016-7)
最新;さいしん;terbaru (2011-12 bagian soal)
情報;じょうほう;informasi (2011-12)
野菜;やさい;sayuran (2011-12 bagian soal)
値段;ねだん;harga (2011-12)
深い;ふかい;dalam (2011-12)
関心;かんしん;minat/ketertarikan (2011-12 bagian soal, 2015-7)
返す;かえす;kembali,mengembalikan (2011-12)
表面;ひょうめん;permukaan (2011-12)
現在;げんざい;saat ini (2011-12)
自由;じゆう;bebas (2011-12)
法律;ほうりつ;hukum (2011-12)
観光;かんこう;sightseeing (2011-12)
当日;とうじつ;pada hari itu (2011-12 bagian soal)
券;けん;tiket (2011-12)
涙;なみだ;air mata (2011-12, 2015-7)
汗;あせ;keringat (2012-7)
配る;くばる;membagikan (2012-7)
道路;どうろ;jalan (2012-7 bagian soal)
完成;かんせい;selesai(membuat) (2012-7)
島;しま;pulau (2012-7, 2019-12)
困る;こまる;bingung,merasa kesulitan (2012-7, 2017-7)
平日;へいじつ;hari kerja/weekday (2012-7)
卒業;そつぎょう;lulus(sekolah) (2012-7, 2018-12)
固く;かたく;dengan keras(misal menutup tutup botol) (2012-7)
守る;まもる;melindungi, mematuhi (2012-7)
週刊誌;しゅうかんし;majalan mingguan (2012-7, 2018-12)
相談;そうだん;berunding (2012-7, 2018-12)
体力;たいりょく;kekuatan tubuh (2012-7 bagian soal)
自信;じしん;percaya diri (2012-7)
温かい;あたたかい;hangat (2012-7)
製品;せいひん;produk (2012-7 bagian soal)
輸入;ゆにゅう;import (2012-7 bagian soal)
原料;げんりょう;bahan dasar (2012-7)
短い;みじかい;pendek (2012-12)
他人;たにん;orang lain (2012-12)
人口;じんこう;populasi (2012-12 bagian soal)
