Question;Answer;Description
留学;りゅうがく;belajar di luar negeri
保留;ほりゅう;tertahan (misal rencana rilis ditahan)
留守;るす;tidak di rumah
書留;かきとめ;pos tercatat (dapat ganti rugi)
守る;まもる;melindungi, mematuhi
守備;しゅび;pertahanan
留守番;るすばん;menjaga (rumah, kantor dll)
濃い;こい;kental
薄い;うすい;tipis
部分;ぶぶん;bagian
部長;ぶちょう;manager (general)
学部;がくぶ;fakultas
部屋;へや;ruangan, kamar
数える;かぞえる;menghitung
数学;すうがく;matematika
数字;すうじ;angka
事件;じけん;peristiwa, kejadian
用件;ようけん;keperluan(formal, untuk urusan bisnis)
件名;けんめい;judul keperluan (misal mengirim email)
再入国;さいにゅうこく;kembali masuk negara
再生;さいせい;hidup kembali, recycle
再ダイヤル;さいダイヤル;tombol ulang (redial)
再来週;さらいしゅう;2 minggu lagi
