Question;Answer;Description
材料;ざいりょう;bahan,ingredients
教材;きょうざい;materi mengajar
卵;たまご;telur
卵焼き;たまごやき;telur dadar
牛乳;ぎゅうにゅう;susu sapi
粉;こな;tepung
小麦粉;こむぎこ;tepung terigu
袋;ふくろ;kantong
紙袋;かみぶくろ;kantong kertas
手袋;てぶくろ;sarung tangan
ゴミ袋;ゴミぶくろ;kantong sampah
混ぜる;まぜる;mencampur
混雑;こんざつ;ramai, banyak orang
焼く;やく;membakar, manggang
焼ける;やける;terbakar, terpanggang
表;おもて/ひょう;（おもて）depan...（ひょう）bagan (table)
表す;あらわす;mengungkapkan
発表;はっぴょう;presentasi
表面;ひょうめん;permukaan
代表;だいひょう;perwakilan
裏;うら;belakang
裏返す;うらがえす;membalik
