Question;Answer;Description
受ける;うける;menerima
受験;じゅけん;mengikuti ujian
受信;じゅしん;mendapat(email, sinyal, dll)
付く;つく;menempel
付ける;つける;menempelkan
受付;うけつけ;resepsionis
片付ける;かたづける;membereskan/merapikan
科学;かがく;ilmu pengetahuan,sains
内科;ないか;(bagian)pengobatan (dirumah sakit)
外科;げか;(bagian)operasi (dirumah sakit)
教科書;きょうかしょ;buku pelajaran
鼻;はな;hidung
耳鼻科;じびか;(bagian) pengobatan telinga,hidung (THT)
主婦;しゅふ;ibu rumah tangga
婦人;ふじん;istri,nyonya
産婦人科;さんふじんか;tempat memeriksa kelahiran dan kewanitaan
骨;ほね;tulang
骨折;こっせつ;patah tulang
人形;にんぎょう;boneka
形式;けいしき;bentuk,format
図形;ずけい;bentuk(bulat,persegi)
整形外科;せいけいげか;operasi plastik
折る;おる;patah
折れる;おれる;mematahkan
左折;させつ;belok kiri
右折;うせつ;belok kanan
折り紙;おりがみ;origami
