Question;Answer;Description
費用;ひよう;biaya
旅費;りょひ;biaya perjalanan
会費;かいひ;biaya member
消費者;しょうひしゃ;konsumen
期間;きかん;masa,periode
長期;ちょうき;masa yang lama(durasi)
短期;たぬき;masa yang pendek(durasi)
定期券;ていきけん;tiket langganan
期限;きげん;batas waktu(durasi/periode)
限る;かぎる;terbatas,batasan
限度;げんど;batas(maksimal)
限定;げんてい;terbatas
賞;しょう;hadiah
賞金;しょうきん;hadiah uang
賞品;しょうひん;hadiah barang
賞味期限;しょうみきげん;batas aman konsumsi(batas expired)
製品;せいひん;produk
〇〇製;せい;made in...
造る;つくる;membuat,membangun
製造;せいぞう;produksi(perlu pengolahan)
方法;ほうほう;cara,metode
文法;ぶんぽう;pola kalimat
温かい;あたたかい;hangat
温度;おんど;suhu(makna luas)
気温;きおん;suhu udara,temperatur
常温;じょうおん;suhu normal
