Question;Answer;Description
線;せん;garis
〜番線;〜ばんせん/ばんせん;nomor peron
画面;がめん;layar
全面;ぜんめん;secara keseluruhan
〇〇方面;ほうめん;arah,tujuan
普通;ふつう;biasa,tidak spesial
各駅;かくえき;setiap stasiun
各国;かっこく;setiap negara
各自;かくじ;masing-masing,setiap orang
快速;かいそく;rapid train(lebih cepat dari biasa)
速い;はやい;cepat(speed)
速度;そくど;kecepatan
高速道路;こうそくどうろ;jalan tol
次;つぎ;selanjutnya
次回;じかい;lain kali, selanjutnya
目次;もくじ;daftar isi
過ぎる;すぎる;lewat,lebih
過去;かこ;masa lalu
通過;つうか;lewat
鉄;てつ;besi
鉄道;てつどう;kereta api
地下鉄;ちかてつ;kereta bawah tanah
