Question;Answer;Description
届く;とどく;tiba(mail,barang)
届ける;とどける;mengantarkan(barang)
自宅;じたく;rumah(saya)
お宅;おたく;rumah(kamu)
宅配;たくはい;delivery ke rumah
配る;くばる;membagikan
配達;はいたつ;delivery
配送料;;biaya pengiriman
心配;しんぱい;khawatir
荷物;にもつ;barang
手荷物;てにもつ;barang bawaan(di tangan)
入荷;にゅうか;barang (stok) masuk
出荷;しゅっか;barang keluar (dikirim)
希望;きぼう;harapan
望む;のぞむ;mengharap
失望;しつぼう;hilang harapan
乗り換え;のりかえ;transfer (kendaraan)
代金引換;だいきんひきかえ;cash on delivery
代引き;だいびき;cash on delivery
金額;きんがく;jumlah uang
半額;はんがく;setengah harga
