Question;Answer;Description
横;よこ;samping
横断;おうだん;menyebrang
横断歩道;おうだんほどう;zebra cross
押す;おす;mendorong
押さえる;おさえる;menekan/menahan
押し入れ;おしいれ;lemari oshiire
入学式;にゅうがくしき;upacara masuk sekolah
数式;すうしき;rumus
押しボタン式;おしボタンしき;dengan cara menekan tombol
飛ぶ;とぶ;terbang
飛行場;ひこうじょう;tempat menerbangkan pesawat (airport)
信じる;しんじる;percaya
送信;そうしん;mengirim(email/chat)
自信;じしん;percaya diri
信用;しんよう;kepercayaan/trust
信号;しんごう;lampu lalu lintas
〜号車;〜ごうしゃ/ごうしゃ;nomor kereta
確かめる;たしかめる;memastikan
確か;たしか;pasti/benar
正確;せいかく;tepat
認める;みとめる;mengakui
確認;かくにん;konfirmasi
