Question;Answer;Description
交通;こうつう;lalu lintas
普通;ふつう;biasa
通る;とおる;lewat
通り;とおり;jalan raya
通う;かよう;pulang-pergi
降る;ふる;turun(hujan,salju)
降りる;おりる;turun
乗る;のる;naik
着る;きる;memakai(baju)
着く;つく;tiba, sampai
着物;きもの;kimono
動く;うごく;bergerak
動物;どうぶつ;hewan
運動;うんどう;olahraga
荷物;にもつ;barang(bagasi)
物;もの;barang
食べ物;たべもの;makanan
品物;しなもの;barang dagangan
食料品;しょくりょうひん;makanan/bahan makanan/selain makanan pokok
建てる;たてる;membangun
建物;たてもの;bangunan
２階建て;２かいだて;bangunan(rumah) 2 lantai
夜;よる;malam
今夜;こんや;malam ini
台風;たいふう;angin topan
風邪;かぜ;masuk angin
台所;だいどころ;dapur
〜台;〜だい/だい;untuk menghitung kendaraan, barang elektronik
同じ;おなじ;sama
回る;まわる;berputar
回す;まわす;memutar
〜回;〜かい/かい;kali(satu kali, dua kali, dsb)
今晩;こんばん;malam ini
勉強;べんきょう;belajar
進む;すすむ;maju
進める;すすめる;memajukan
集まる;あつまる;berkumpul
集める;あつめる;mengumpulkan
作る;つくる;membuat
作文;さくぶん;karangan
文章;ぶんしょう;kalimat
例文;れいぶん;contoh kalimat
使う;つかう;menggunakan
大使館;たいしかん;kedutaan besar
便利;べんり;praktis
郵便局;ゆうびんきょく;kantor pos
低い;ひくい;rendah
短い;みじかい;pendek
近い;ちかい;dekat
近所;きんじょ;tetangga
最近;さいきん;akhir-akhir ini
遠い;とおい;jauh
遠足;えんそく;piknik
遠慮;えんりょ;sungkan(merasa tidak enak)
弱い;よわい;lemah
強い;つよい;kuat
暗い;くらい;gelap
明るい;あかるい;terang
説明;せつめい;penjelasan
明けましておめでとう;あけましておめでとう;selamat tahun baru
明日;あした/あす;besok
悪い;わるい;buruk
利用;りよう;penggunaan,pemanfaatan
旅行;りょこう;traveling(bepergian)
旅館;りょかん;penginapan tradisional Jepang
美術館;びじゅつかん;museum seni
有名;ゆうめい;terkenal
去年;きょねん;tahun lalu
写す;うつす;mencopy,menyalin
写真;しゃしん;foto
真ん中;まんなか;ditengah-tengah
夕方;ゆうがた;sore
夕食;ゆうしょく;makan malam
あの方;あのかた;beliau
〜方;〜かた/かた;cara
両方;りょうほう;keduanya
ご飯;ごはん;nasi
朝ご飯;あさごはん;sarapan
昼ご飯;ひるごはん;makan siang
晩ご飯;ばんごはん;makan malam
主人;しゅじん;suami
医者;いしゃ;dokter
医学;いがく;ilmu kedokteran
学者;がくしゃ;ilmuwan
歯医者;はいしゃ;dokter gigi
店員;てんいん;pegawai toko
駅員;えきいん;pegawai stasiun
会社員;かいしゃいん;pegawai kantor
銀行員;ぎんこういん;pegawai bank
国民;こくみん;masyarakat
市民;しみん;warga kota
運転;うんてん;menyetir
運転手;うんてんしゅ;supir
