Question;Answer;Description
先生;せんせい;guru
お先に;おさきに;duluan
先月;せんげつ;bulan lalu
生活;せいかつ;kehidupan
生徒;せいと;murid
誕生日;たんじょうび;hari ulang tahun
学生;がくせい;siswa
学校;がっこう;sekolah
日本人;にほんじん;orang Jepang
人;じん;orang
〜人;〜にん/にん;menghitung orang
大人;おとな;dewasa
外国人;がいこくじん;orang asing
国;くに;negara
男の子;おとこのこ;anak laki-laki
男の人;おとこのひと;seorang laki-laki
彼女;かのじょ;dia(perempuan),pacar(perempuan)
女の人;おんなのひと;seorang perempuan
女の子;おんなのこ;anak perempuan
子供;こども;anak-anak
友達;ともだち;teman
お父さん;おとうさん;ayah(orang lain)
父;ちち;ayah
お母さん;おかあさん;ibu(orang lain)
母;はは;ibu
有名;ゆうめい;terkenal
名前;なまえ;nama
田中さん;たなかさん;tanaka-san
山田さん;やまださん;yamada-san
富士山;ふじさん;gunung fuji
山;やま;gunung
日本語;にほんご;bahasa Jepang
英語;えいご;bahasa Inggris
本;ほん;buku
日本;にほん;Jepang
〜本;〜ほん/〜ぽん/〜ぼん/ほん/ぽん/ぼん;untuk menghitung benda panjang
何時;なんじ;jam berapa
何時間;なんじかん;berapa jam
何語;なんご;bahasa apa
何;なに;apa
９時;９じ/9じ;jam 9
四時間;よじかん;4 jam
時計;とけい;jam(alat)
五分;ごふん;5 menit
三十分;さんじゅうぷん;30 menit
半分;はんぶん;setengah
時間;じかん;jam
一週間;いっしゅうかん;satu minggu
間に合う;まにあう;keburu
この間;このあいだ;beberapa waktu yang lalu
七時半;しちじはん;jam 7.30
一時間半;いちじかんはん;1,5 jam
午後;ごご;p.m.
午前;ごぜん;a.m.
前;まえ;depan
後で;あとで;nanti
後ろ;うしろ;belakang
今月;こんげつ;bulan ini
今日;きょう;hari ini
今朝;けさ;pagi tadi
今年;ことし;tahun ini
今週;こんしゅう;minggu ini
先週;せんしゅう;minggu lalu
来週;らいしゅう;minggu depan
去年;きょねん;tahun lalu
半年;はんとし;setengah tahun
来年;らいねん;tahun depan
一年;いちねん;satu tahun
毎日;まいにち;setiap hari
毎月;まいつき;setiap bulan
毎年;まいとし;setiap tahun
少し;すこし;sedikit
少ない;すくない;sedikit
多い;おおい;banyak
大変;たいへん;berat,sulit
大学;だいがく;universitas
大切;たいせつ;penting
大きい;おおきい;besar
小学校;しょうがっこう;sekolah dasar
小さい;ちいさい;kecil
安い;やすい;murah
安全;あんぜん;aman
安心;あんしん;tenang,lega
高い;たかい;mahal
高校;こうこう;Sekolah Menengah Atas
新しい;あたらしい;baru
新聞;しんぶん;koran
古い;ふるい;tua
早い;はやい;cepat
遅い;おそい;lambat,lama,larut
社長;しゃちょう;direktur
長い;ながい;panjang
短い;みじかい;pendek
円;えん;yen
校長;こうちょう;kepala sekolah
会社;かいしゃ;perusahaan
会社員;かいしゃいん;karyawan
中学校;ちゅうがっこう;Sekolah Menengah Pertama
一日中;いちにちじゅう;seharian
中;なか;dalam
外;そと;luar
聞く;きく;mendengar,bertanya
聞こえる;きこえる;terdengar
東;ひがし;timur
東口;ひがしぐち;pintu timur
東京;とうきょう;tokyo
西;にし;barat
西口;にしぐち;pintu barat
西洋;せいよう;negara barat
南;みなみ;selatan
南口;みなみぐち;pintu selatan
北;きた;utara
北口;きたぐち;pintu utara
北海道;ほっかいどう;Hokkaido
上;うえ;atas
上手;じょうず;pintar
上着;うわぎ;atasan,jaket,jas
下;した;bawah
地下鉄;ちかてつ;subway
下手;へた;bodoh
左;ひだり;kiri
右;みぎ;kanan
出る;でる;keluar
出す;だす;mengeluarkan
出かける;でかける;keluar,bepergian
入る;はいる;masuk
入れる;いれる;memasukkan
口;くち;mulut
入り口;いりぐち;pintu masuk
出口;でぐち;pintu keluar
外国;がいこく;luar negeri
駅;えき;stasiun
休む;やすむ;istirahat
休み;やすみ;libur,istirahat
昼休み;ひるやすみ;istirahat siang
見学;けんがく;observasi
見物;けんぶつ;melihat-lihat,berwisata
見える;みえる;terlihat
見せる;みせる;memperlihatkan
言う;いう;mengatakan
言葉;ことば;kosakata,bahasa
行く;いく;pergi
旅行;りょこう;traveling(bepergian)
銀行;ぎんこう;bank
書く;かく;menulis
辞書;じしょ;kamus
読む;よむ;membaca
買う;かう;membeli
買い物;かいもの;belanja
来る;くる;datang
来月;らいげつ;bulan depan
来ない;こない;tidak datang
来た;きた;datang(lampau)
立つ;たつ;berdiri
食事;しょくじ;makan
食堂;しょくどう;kantin
食べる;たべる;makan
食べ物;たべもの;makanan
飲む;のむ;minum
飲み物;のみもの;minuman
会う;あう;bertemu
会話;かいわ;percakapan
電車;でんしゃ;kereta
電気;でんき;listrik,lampu
話す;はなす;bicara
話し;はなし;cerita
電話;でんわ;telepon
車;くるま;mobil
自転車;じてんしゃ;sepeda
自動車;じどうしゃ;kendaraan,mobil otomatis
花;はな;bunga
花見;はなみ;melihat sakura
花火;はなび;kembang api
花瓶;かびん;vas bunga
天気;てんき;cuaca
病気;びょうき;sakit
耳;みみ;telinga
手;て;tangan
